mode,resolution,tile_size,image_idx,run_idx,elapsed_seconds,status
sharp_anime_x4,512,128,0,0,1.8192732334136963,ok
sharp_anime_x4,512,128,0,1,1.7893805503845215,ok
sharp_anime_x4,512,128,0,2,1.8184161186218262,ok
sharp_anime_x4,512,128,1,0,1.8372206687927246,ok
sharp_anime_x4,512,128,1,1,1.7837693691253662,ok
sharp_anime_x4,512,128,1,2,1.7621307373046875,ok
sharp_anime_x4,512,256,0,0,1.630859136581421,ok
sharp_anime_x4,512,256,0,1,1.610079288482666,ok
sharp_anime_x4,512,256,0,2,1.6218976974487305,ok
sharp_anime_x4,512,256,1,0,1.6707589626312256,ok
sharp_anime_x4,512,256,1,1,1.6404318809509277,ok
sharp_anime_x4,512,256,1,2,1.5957021713256836,ok
sharp_anime_x4,512,512,0,0,1.5345404148101807,ok
sharp_anime_x4,512,512,0,1,1.534210443496704,ok
sharp_anime_x4,512,512,0,2,1.5429766178131104,ok
sharp_anime_x4,512,512,1,0,1.553417444229126,ok
sharp_anime_x4,512,512,1,1,1.5547349452972412,ok
sharp_anime_x4,512,512,1,2,1.5162456035614014,ok
sharp_anime_x4,1024,128,0,0,5.510559797286987,ok
sharp_anime_x4,1024,128,0,1,5.528719425201416,ok
sharp_anime_x4,1024,128,0,2,5.556086540222168,ok
sharp_anime_x4,1024,128,1,0,5.608515739440918,ok
sharp_anime_x4,1024,128,1,1,5.557633638381958,ok
sharp_anime_x4,1024,128,1,2,5.558999061584473,ok
sharp_anime_x4,1024,256,0,0,4.783464670181274,ok
sharp_anime_x4,1024,256,0,1,4.797517776489258,ok
sharp_anime_x4,1024,256,0,2,4.808477401733398,ok
sharp_anime_x4,1024,256,1,0,4.772840738296509,ok
sharp_anime_x4,1024,256,1,1,4.836114883422852,ok
sharp_anime_x4,1024,256,1,2,4.790057420730591,ok
sharp_anime_x4,1024,512,0,0,4.51603102684021,ok
sharp_anime_x4,1024,512,0,1,4.536373853683472,ok
sharp_anime_x4,1024,512,0,2,4.483882427215576,ok
sharp_anime_x4,1024,512,1,0,4.48777437210083,ok
sharp_anime_x4,1024,512,1,1,4.561032772064209,ok
sharp_anime_x4,1024,512,1,2,4.4932701587677,ok
sharp_anime_x4,1920,128,0,0,18.310291051864624,ok
sharp_anime_x4,1920,128,0,1,18.03022074699402,ok
sharp_anime_x4,1920,128,0,2,18.11005687713623,ok
sharp_anime_x4,1920,128,1,0,18.024901628494263,ok
sharp_anime_x4,1920,128,1,1,18.057363748550415,ok
sharp_anime_x4,1920,128,1,2,18.037591695785522,ok
sharp_anime_x4,1920,256,0,0,15.594817638397217,ok
sharp_anime_x4,1920,256,0,1,15.573757410049438,ok
sharp_anime_x4,1920,256,0,2,15.59815239906311,ok
