image_id,method,scale,psnr,ssim,lpips,elapsed_seconds,status
jxie_flickr8k_5463,bicubic_4x,4,33.233944166707765,0.9356973470763371,0.2453237920999527,0.0022537708282470703,ok
jxie_flickr8k_5463,general_x4plus,4,31.589901303513514,0.9224527822807236,0.12715047597885132,0.5133364200592041,ok
jxie_flickr8k_5463,sharp_anime_x4,4,31.58710337753981,0.9211189606576267,0.17506259679794312,0.14926576614379883,ok
jxie_flickr8k_5463,auto_vehicle_x4,4,31.589901303513514,0.9224527822807236,0.12715047597885132,0.5113122463226318,ok
jxie_flickr8k_5463,bicubic_2x,2,39.358015482181216,0.9791734471368839,0.05731651186943054,0.0027647018432617188,ok
jxie_flickr8k_5463,fast_x2,2,35.29520763525669,0.9466529536213749,0.08582079410552979,0.513798713684082,ok
jxie_flickr8k_2524,bicubic_4x,4,33.72840862205439,0.8914940185403304,0.2466304898262024,0.0022394657135009766,ok
jxie_flickr8k_2524,general_x4plus,4,30.333670759016243,0.846151567915837,0.167047917842865,0.5121684074401855,ok
jxie_flickr8k_2524,sharp_anime_x4,4,26.991054049349078,0.7893886770296957,0.27759450674057007,0.15007448196411133,ok
jxie_flickr8k_2524,auto_vehicle_x4,4,30.333670759016243,0.846151567915837,0.167047917842865,0.5144872665405273,ok
jxie_flickr8k_2524,bicubic_2x,2,40.98767100226122,0.9745297775957468,0.05119089037179947,0.0027277469635009766,ok
jxie_flickr8k_2524,fast_x2,2,33.583899600744076,0.9186120864000675,0.1007995456457138,0.5108067989349365,ok
jxie_flickr8k_396,bicubic_4x,4,21.924027313321123,0.6677727190117037,0.4258497953414917,0.002241373062133789,ok
jxie_flickr8k_396,general_x4plus,4,21.731750369546567,0.6663821248133756,0.19154542684555054,0.5122504234313965,ok
jxie_flickr8k_396,sharp_anime_x4,4,21.120824554721146,0.6366434142930985,0.25536662340164185,0.1491069793701172,ok
jxie_flickr8k_396,auto_vehicle_x4,4,21.731750369546567,0.6663821248133756,0.19154542684555054,0.5116798877716064,ok
jxie_flickr8k_396,bicubic_2x,2,26.846183860700073,0.8878409743961643,0.13915373384952545,0.002776622772216797,ok
jxie_flickr8k_396,fast_x2,2,24.791637771392764,0.8102339613558641,0.10229011625051498,0.5123074054718018,ok
jxie_flickr8k_4446,bicubic_4x,4,20.687951797373362,0.5921632761071013,0.5735572576522827,0.0022430419921875,ok
jxie_flickr8k_4446,general_x4plus,4,20.58519576905072,0.6017946244637689,0.32337427139282227,0.5089635848999023,ok
jxie_flickr8k_4446,sharp_anime_x4,4,19.656502210882532,0.5687006540223487,0.3672487139701843,0.1494598388671875,ok
jxie_flickr8k_4446,auto_vehicle_x4,4,20.58519576905072,0.6017946244637689,0.32337427139282227,0.5111727714538574,ok
jxie_flickr8k_4446,bicubic_2x,2,24.271264985221222,0.805838484160987,0.2533407211303711,0.0027725696563720703,ok
jxie_flickr8k_4446,fast_x2,2,23.309626946500927,0.732591848652031,0.20707222819328308,0.511375904083252,ok
jxie_flickr8k_5990,bicubic_4x,4,32.797280085288016,0.9075917596018951,0.22022277116775513,0.0022630691528320312,ok
jxie_flickr8k_5990,general_x4plus,4,30.07285965550775,0.8633145990603238,0.19795763492584229,0.5109093189239502,ok
jxie_flickr8k_5990,sharp_anime_x4,4,28.69352759110803,0.8521662774637874,0.2581705152988434,0.14852142333984375,ok
jxie_flickr8k_5990,auto_vehicle_x4,4,30.07285965550775,0.8633145990603238,0.19795763492584229,0.510911226272583,ok
jxie_flickr8k_5990,bicubic_2x,2,39.250803879535596,0.9751641679606604,0.05898551642894745,0.002767324447631836,ok
jxie_flickr8k_5990,fast_x2,2,33.84069071609743,0.9176826859055139,0.0950634777545929,0.5129895210266113,ok
jxie_flickr8k_2393,bicubic_4x,4,27.52276672559155,0.8385348500904252,0.2609812319278717,0.0022401809692382812,ok
jxie_flickr8k_2393,general_x4plus,4,26.546016275703813,0.8048784383590325,0.1410713791847229,0.5110151767730713,ok
jxie_flickr8k_2393,sharp_anime_x4,4,26.600424615921078,0.7873498687900239,0.1958504468202591,0.14911723136901855,ok
jxie_flickr8k_2393,auto_vehicle_x4,4,26.546016275703813,0.8048784383590325,0.1410713791847229,0.5116531848907471,ok
jxie_flickr8k_2393,bicubic_2x,2,31.19474180173996,0.9274152357329907,0.11166095733642578,0.002794027328491211,ok
jxie_flickr8k_2393,fast_x2,2,28.366651007008528,0.8679844574037059,0.08993731439113617,0.5127236843109131,ok
jxie_flickr8k_21,bicubic_4x,4,28.260700587373893,0.7453171902186845,0.4394884705543518,0.002235889434814453,ok
jxie_flickr8k_21,general_x4plus,4,26.992916956070978,0.6994699593972736,0.30255672335624695,0.5130903720855713,ok
jxie_flickr8k_21,sharp_anime_x4,4,26.297217270364275,0.6916019128029678,0.3660968244075775,0.14956450462341309,ok
jxie_flickr8k_21,auto_vehicle_x4,4,26.992916956070978,0.6994699593972736,0.30255672335624695,0.5124614238739014,ok
jxie_flickr8k_21,bicubic_2x,2,31.677732938117526,0.878182398756131,0.22234386205673218,0.0028095245361328125,ok
jxie_flickr8k_21,fast_x2,2,29.567054038724272,0.7952263835330938,0.19871991872787476,0.5146467685699463,ok
jxie_flickr8k_3522,bicubic_4x,4,21.804286370271285,0.5928757354198145,0.47838833928108215,0.002218008041381836,ok
jxie_flickr8k_3522,general_x4plus,4,20.366028495253154,0.48386670229007134,0.38728010654449463,0.5133786201477051,ok
jxie_flickr8k_3522,sharp_anime_x4,4,20.23543718494672,0.43109647505831505,0.4612089991569519,0.15022039413452148,ok
